File_Name,Error,Similarity,MSE,Similarity_MSE,PSNR,SSIM,Encode_Time,Decode_Time
img_11_slice_142.npy,0.04544424734424128,95.45557526557587,0.005040005711252368,99.49599942887475,22.975689714187638,0.8033717449619593,0.08666205406188965,0.13600993156433105
img_11_slice_144.npy,0.051480411098913825,94.85195889010862,0.006450170494986833,99.35498295050131,21.904288056665365,0.7811577999464323,0.08725118637084961,0.1379866600036621
img_11_slice_167.npy,0.04282589925017556,95.71741007498244,0.004570138735191231,99.54298612648088,23.400706159009466,0.8153973034964855,0.08584904670715332,0.14394378662109375
img_11_slice_172.npy,0.04704440404123818,95.29555959587618,0.005529200860647251,99.44707991393528,22.573376330516325,0.8065840385105113,0.08751296997070312,0.13981318473815918
img_11_slice_177.npy,0.05130698335050622,94.86930166494938,0.006613112505507934,99.3386887494492,21.795940888027992,0.7949931593798204,0.10361981391906738,0.14039230346679688
img_11_slice_187.npy,0.036551311965445546,96.34486880345544,0.0034359784191759467,99.6564021580824,24.639495725655433,0.8251060795401801,0.0879828929901123,0.14302515983581543
img_11_slice_188.npy,0.037581081217812826,96.24189187821872,0.003619891265785283,99.63801087342146,24.41304474599065,0.8233375417473353,0.08926510810852051,0.14349699020385742
img_11_slice_190.npy,0.018566628716116487,98.14333712838835,0.0010824948074923168,99.89175051925076,29.655741781920035,0.8509169222981161,0.09305596351623535,0.146773099899292
img_11_slice_194.npy,0.035604606802796465,96.43953931972035,0.0032530439708288077,99.67469560291711,24.877100663955964,0.8251992189856954,0.09110522270202637,0.14427399635314941
img_11_slice_200.npy,0.024217645935782493,97.57823540642175,0.0015848728694192666,99.84151271305808,28.000055689819106,0.8450804371601842,0.0916447639465332,0.14120984077453613
img_11_slice_211.npy,0.01203823492297054,98.79617650770295,0.0005703008556688689,99.9429699144331,32.43895976806988,0.8738700784863231,0.09263420104980469,0.14136886596679688
img_11_slice_213.npy,0.011639742984546463,98.83602570154535,0.0005281979556214987,99.94718020443784,32.77203284053026,0.8804649844785661,0.08858609199523926,0.1503438949584961
img_11_slice_222.npy,0.011417341302430153,98.85826586975699,0.0005052931125888166,99.94947068874112,32.96456621383889,0.8838603371087709,0.09668803215026855,0.13726496696472168
img_11_slice_229.npy,0.011968142854794825,98.80318571452051,0.0005352237052094372,99.94647762947906,32.71464659788697,0.8721609888444498,0.09279990196228027,0.15129899978637695
img_11_slice_235.npy,0.012723738232957872,98.7276261767042,0.0005521765769512682,99.94478234230488,32.5792201985642,0.8531987172588693,0.09575486183166504,0.14520764350891113
img_11_slice_244.npy,0.05762908459433819,94.23709154056618,0.0071323133423334415,99.28676866576666,21.46769585314817,0.7693602713448144,0.08859014511108398,0.14199280738830566
img_11_slice_252.npy,0.05420987771861746,94.57901222813825,0.006295359637171888,99.37046403628281,22.009794547574153,0.7821377219963356,0.08791494369506836,0.14163804054260254
img_11_slice_254.npy,0.04378050017955725,95.62194998204427,0.004163726867349254,99.58362731326508,23.80517767128261,0.7927392971972156,0.08960890769958496,0.13879609107971191
img_11_slice_262.npy,0.011936878845398758,98.80631211546013,0.0005174186709527234,99.94825813290473,32.86157903904289,0.8706191101822406,0.0988759994506836,0.14240097999572754
img_11_slice_276.npy,0.05172962424601152,94.82703757539885,0.005656150178395614,99.43438498216044,22.474790679553852,0.7740614241941481,0.09405899047851562,0.1393887996673584
img_11_slice_287.npy,0.04584523661416585,95.41547633858342,0.004430378060434055,99.5569621939566,23.535592122521702,0.8028973960353782,0.0926661491394043,0.15015459060668945
img_11_slice_288.npy,0.048506027165994135,95.14939728340059,0.0049369520951359856,99.5063047904864,23.065410868616993,0.796283991378497,0.09533309936523438,0.14705514907836914
img_11_slice_289.npy,0.06024663168095016,93.97533683190498,0.007557454656381131,99.24425453436189,21.216244498454863,0.7580116667438295,0.09184479713439941,0.14356184005737305
img_11_slice_290.npy,0.055413593372536686,94.45864066274633,0.006454882102118481,99.35451178978815,21.901116856774948,0.7438675081898163,0.09508705139160156,0.1438448429107666
img_11_slice_291.npy,0.05414072365619988,94.58592763438001,0.006147239590584917,99.3852760409415,22.11319859786061,0.7680184021042168,0.09166097640991211,0.1397562026977539
img_11_slice_32.npy,0.041834004034337756,95.81659959656622,0.004628837961368309,99.53711620386318,23.345280220072794,0.8178094217333944,0.08789706230163574,0.13850188255310059
img_11_slice_39.npy,0.046101841332199876,95.38981586678001,0.005698050988620282,99.43019490113797,22.442736688246306,0.7915199996684417,0.0905141830444336,0.1482229232788086
img_11_slice_48.npy,0.033796017941804944,96.6203982058195,0.003102504076103796,99.68974959238962,25.082876392480166,0.8346282875435344,0.08780384063720703,0.13476085662841797
img_11_slice_52.npy,0.011635851954718609,98.83641480452813,0.0005581651601234174,99.94418348398766,32.532372750461704,0.8843679121219444,0.08609628677368164,0.1443932056427002
img_11_slice_76.npy,0.011605295448136908,98.8394704551863,0.0005356201337812284,99.94643798662187,32.71143106369245,0.8827468219788538,0.08577418327331543,0.13919806480407715
img_11_slice_87.npy,0.011765525374696119,98.8234474625304,0.0005939198714517138,99.94060801285482,32.26272143796135,0.8833272798120002,0.09006381034851074,0.13915610313415527
img_11_slice_90.npy,0.01265087486440879,98.73491251355912,0.000639761327624547,99.93602386723754,31.939820157474887,0.8681759002626454,0.08732414245605469,0.14552760124206543
img_12_slice_107.npy,0.05050198537554232,94.94980146244578,0.010161377251388973,98.9838622748611,19.9304742471531,0.8275616115509945,0.08415412902832031,0.13501310348510742
img_12_slice_114.npy,0.05268726350353501,94.7312736496465,0.010986101332144428,98.90138986678556,19.591563995083423,0.8220833319551452,0.08440136909484863,0.13637876510620117
img_12_slice_125.npy,0.049821254277827735,95.01787457221724,0.009905423585463579,99.00945764145365,20.041269480006456,0.824857012500498,0.0849921703338623,0.1393599510192871
img_12_slice_130.npy,0.04456299238683926,95.54370076131607,0.007983299126794886,99.20167008732051,20.9781759781368,0.8347767568054937,0.08628582954406738,0.14124608039855957
img_12_slice_134.npy,0.04399914517590211,95.6000854824098,0.007829457880636556,99.21705421193634,21.062683078780612,0.8378324508614962,0.09655928611755371,0.1496729850769043
img_12_slice_151.npy,0.04595539385364122,95.40446061463588,0.008801399647217501,99.11986003527825,20.554482584489158,0.8340908169898809,0.09644484519958496,0.14696502685546875
