File_Name,Error,Similarity,MSE,Similarity_MSE,PSNR,SSIM,Inference_Time
img_9_slice_139.npy,0.024327792566118205,97.56722074338818,0.0019046046545551846,99.80953953454448,27.201951586569713,0.7380025857299958,0.1364881992340088
img_9_slice_14.npy,0.01911403670200856,98.08859632979915,0.0011777669818016734,99.88222330181983,29.28940625107483,0.752451989554542,0.13622498512268066
img_9_slice_140.npy,0.028048207140840418,97.19517928591596,0.0023372893563209127,99.76627106436791,26.31287518641388,0.7247446349274084,0.13814878463745117
img_9_slice_143.npy,0.023339294454843656,97.66607055451564,0.0016760740299842632,99.83239259700157,27.757068030663504,0.744666104690091,0.13590049743652344
img_9_slice_149.npy,0.028741728411285056,97.12582715887149,0.002285445026357478,99.77145549736424,26.41029220682563,0.7351659142229509,0.1359243392944336
img_9_slice_157.npy,0.030401699884563458,96.95983001154366,0.002763929622150143,99.72360703778499,25.58473019583285,0.7345310237283571,0.1341238021850586
img_9_slice_159.npy,0.018876000799337347,98.11239992006627,0.0013171237876051115,99.86828762123949,28.80373406703011,0.7753100702120675,0.13623738288879395
img_9_slice_171.npy,0.021294670029704286,97.87053299702957,0.0015262656032142693,99.84737343967858,28.163698831746817,0.7724784059537426,0.13570642471313477
img_9_slice_173.npy,0.022141876646808337,97.78581233531916,0.0016445410350185504,99.83554589649815,27.83955285416487,0.7751039871215282,0.1324176788330078
img_9_slice_177.npy,0.0213310338833287,97.86689661166713,0.0015592553509952926,99.84407446490047,28.070827568784082,0.7823050523507913,0.13300037384033203
img_9_slice_178.npy,0.03263036647117492,96.73696335288251,0.0032597203184710957,99.67402796815288,24.868196604705,0.7417412780715897,0.1333162784576416
img_9_slice_187.npy,0.027264122778402743,97.27358772215973,0.0024391848694340725,99.7560815130566,26.12755282616795,0.7613016131535378,0.13320446014404297
img_9_slice_192.npy,0.03062962030594348,96.93703796940565,0.003003588878952352,99.69964111210476,25.223595123540626,0.7506843304033166,0.13204693794250488
img_9_slice_203.npy,0.025797025165568244,97.42029748344318,0.0022755395687769765,99.7724460431223,26.4291560825599,0.7746097953230379,0.13264942169189453
img_9_slice_205.npy,0.0274963704399296,97.25036295600704,0.0025842430807009303,99.74157569192991,25.876666378743668,0.7699306997915596,0.13389968872070312
img_9_slice_21.npy,0.0321510814909109,96.7848918509089,0.0029044465879592067,99.70955534120408,25.36936605680392,0.7028592211926505,0.13695001602172852
img_9_slice_22.npy,0.02830715215306917,97.16928478469309,0.002369918380166922,99.76300816198331,26.252666108057227,0.7147903880886162,0.13072609901428223
img_9_slice_224.npy,0.020027570861726053,97.99724291382739,0.001425158711881227,99.85748412881188,28.46136768037195,0.7928135825519755,0.13570713996887207
img_9_slice_225.npy,0.015719510061011976,98.4280489938988,0.0010019423277261563,99.89980576722739,29.991572759449472,0.8133770381363865,0.1354663372039795
img_9_slice_226.npy,0.015935457120823247,98.40645428791768,0.0009853421071642264,99.90146578928358,30.06412957869631,0.808444960116816,0.13490939140319824
img_9_slice_230.npy,0.01699973121382846,98.30002687861715,0.0011066376901559209,99.8893362309844,29.559945425549117,0.8009959454695625,0.13832449913024902
img_9_slice_234.npy,0.019879024282304415,98.01209757176956,0.00135825410337128,99.86417458966287,28.67018974261249,0.7839151948302469,0.13780736923217773
img_9_slice_244.npy,0.01996872139502255,98.00312786049774,0.0012956038622843656,99.87043961377157,28.875277659981627,0.781485879677668,0.1345212459564209
img_9_slice_250.npy,0.02919212863932194,97.0807871360678,0.002330380032788307,99.76696199672116,26.325732494956515,0.7417648357038192,0.13691377639770508
img_9_slice_252.npy,0.016746920850948532,98.32530791490515,0.0009638510171006607,99.90361489828994,30.15990090009376,0.7825164863880005,0.13631153106689453
img_9_slice_257.npy,0.01779366531748854,98.22063346825115,0.001056214572305989,99.8943785427694,29.762478449630116,0.7728839103996564,0.13351130485534668
img_9_slice_259.npy,0.025553202824543986,97.4446797175456,0.0018353717730172881,99.81646282269827,27.36275951784505,0.742234710884767,0.13448762893676758
img_9_slice_26.npy,0.02881550600400849,97.11844939959914,0.002451834763143442,99.75481652368565,26.105088016385615,0.713468303053138,0.13353991508483887
img_9_slice_264.npy,0.023279823891913895,97.67201761080861,0.0015684348784773992,99.84315651215226,28.045335085282662,0.7445611616644596,0.1367053985595703
img_9_slice_269.npy,0.017351752818483925,98.26482471815162,0.0009645672967631695,99.90354327032368,30.156674667310174,0.7626260425934546,0.13259029388427734
img_9_slice_27.npy,0.03380156329851901,96.6198436701481,0.003241928584160528,99.67580714158395,24.89196556374184,0.6989105239382022,0.1375269889831543
img_9_slice_272.npy,0.020916771154375683,97.90832288456242,0.0013097913051561547,99.86902086948439,28.8279789689335,0.7441787329872668,0.1341555118560791
img_9_slice_28.npy,0.029135175754182053,97.0864824245818,0.002506248628505992,99.7493751371494,26.009758476945724,0.718816084003364,0.13344955444335938
img_9_slice_280.npy,0.03201758801194519,96.79824119880548,0.0025841591433361432,99.74158408566639,25.876807441814126,0.7047506775765011,0.13414978981018066
img_9_slice_281.npy,0.031126909625648073,96.88730903743519,0.002462849082098412,99.75371509179016,26.08562199943275,0.7056583652011995,0.1354069709777832
img_9_slice_282.npy,0.02490791862041882,97.50920813795811,0.0016859102674217613,99.83140897325782,27.73165544421037,0.7249363654034444,0.13512420654296875
img_9_slice_286.npy,0.03175568496581814,96.82443150341818,0.0025314196132360813,99.7468580386764,25.966358593426353,0.7049403944985684,0.13336753845214844
img_9_slice_288.npy,0.0385961571962622,96.14038428037378,0.0035922351633221866,99.64077648366778,24.446352402702797,0.6838101592301554,0.1341407299041748
img_9_slice_293.npy,0.034860672625857056,96.5139327374143,0.002948419246209176,99.70515807537909,25.304107625465168,0.6868850912479794,0.13599419593811035
img_9_slice_36.npy,0.031134065396539165,96.88659346034608,0.0028595010487009512,99.7140498951299,25.43709739842977,0.7171351194215692,0.1316671371459961
img_9_slice_49.npy,0.03210076406433091,96.78992359356691,0.003000482006635592,99.69995179933645,25.228089732779225,0.7332939505819821,0.13987445831298828
img_9_slice_50.npy,0.02615747423912589,97.38425257608742,0.0020779259189656375,99.79220740810344,26.823699397229884,0.7517797732902985,0.14214539527893066
img_9_slice_55.npy,0.03166918109226477,96.83308189077351,0.002884731235612611,99.71152687643874,25.398946429337677,0.7378751047543493,0.1354379653930664
