File_Name,Min_Value,Max_Value,Mean_Value
img_0_slice_208.npy,-1000,1420,-684.90911875
img_0_slice_209.npy,-1000,1448,-683.01120625
img_0_slice_21.npy,-1000,1579,-667.8552375
img_0_slice_210.npy,-1000,1971,-680.62928125
img_0_slice_211.npy,-1000,1653,-677.4474875
img_0_slice_212.npy,-1000,1572,-672.848125
img_0_slice_213.npy,-1000,1656,-668.15126875
img_0_slice_214.npy,-1000,1586,-663.87803125
img_0_slice_215.npy,-1000,1748,-660.02360625
img_0_slice_216.npy,-1000,1742,-656.585325
img_0_slice_217.npy,-1000,1705,-653.17118125
img_0_slice_218.npy,-1000,1427,-650.3073875
img_0_slice_219.npy,-1000,1386,-647.26458125
img_0_slice_22.npy,-1000,1524,-671.3172375
img_0_slice_220.npy,-1000,1463,-643.7637625
img_0_slice_221.npy,-1000,1468,-639.1583125
img_0_slice_222.npy,-1000,1518,-634.16588125
img_0_slice_223.npy,-1000,1514,-629.5307375
img_0_slice_224.npy,-1000,1797,-625.5460375
img_0_slice_225.npy,-1000,1541,-621.50486875
img_0_slice_226.npy,-1000,1589,-617.29545625
img_0_slice_227.npy,-1000,1593,-613.55730625
img_0_slice_228.npy,-1000,1477,-610.40301875
img_0_slice_229.npy,-1000,1592,-607.2824375
img_0_slice_23.npy,-1000,1648,-674.28261875
img_0_slice_230.npy,-1000,1433,-604.6113875
img_0_slice_231.npy,-1000,1509,-602.27125
img_0_slice_232.npy,-1000,1572,-601.14829375
img_0_slice_233.npy,-1000,1598,-600.4356875
img_0_slice_234.npy,-1000,1572,-599.903675
img_0_slice_235.npy,-1000,1677,-599.1208
img_0_slice_236.npy,-1000,1725,-598.64443125
img_0_slice_237.npy,-1000,1575,-598.70225
img_0_slice_238.npy,-1000,1570,-598.71281875
img_0_slice_239.npy,-1000,1425,-598.9970125
img_0_slice_24.npy,-1000,1606,-677.56346875
img_0_slice_240.npy,-1000,1422,-598.71710625
img_0_slice_241.npy,-1000,1632,-598.5743625
img_0_slice_242.npy,-1000,1609,-598.5645125
img_0_slice_243.npy,-1000,1769,-598.4603625
img_0_slice_244.npy,-1000,1712,-598.32550625
img_0_slice_245.npy,-1000,1518,-597.96469375
img_0_slice_246.npy,-1000,1577,-598.0878375
img_0_slice_247.npy,-1000,1652,-598.41404375
img_0_slice_248.npy,-1000,1613,-599.0208625
img_0_slice_249.npy,-1000,1526,-599.48314375
img_0_slice_25.npy,-1000,1588,-680.81830625
img_0_slice_250.npy,-1000,1513,-599.73303125
img_0_slice_251.npy,-1000,1564,-600.17225
img_0_slice_252.npy,-1000,1582,-600.83335625
img_0_slice_253.npy,-1000,1700,-601.759625
img_0_slice_254.npy,-1000,1700,-602.2795
img_0_slice_255.npy,-1000,1484,-602.53025
img_0_slice_256.npy,-1000,1473,-602.78858125
img_0_slice_257.npy,-1000,1533,-602.91115
img_0_slice_258.npy,-1000,1580,-603.012875
img_0_slice_259.npy,-1000,1576,-602.89020625
img_0_slice_26.npy,-1000,1724,-683.72811875
img_0_slice_27.npy,-1000,1683,-686.44643125
img_0_slice_28.npy,-1000,1709,-688.551075
img_0_slice_29.npy,-1000,1718,-690.74835625
img_0_slice_3.npy,-1000,1553,-627.0925
img_0_slice_30.npy,-1000,1862,-692.0599375
img_0_slice_31.npy,-1000,1878,-693.18184375
img_0_slice_32.npy,-1000,1949,-694.11005625
img_0_slice_33.npy,-1000,1849,-694.86265625
img_0_slice_34.npy,-1000,1801,-695.71920625
img_0_slice_35.npy,-1000,1791,-696.2966
img_0_slice_36.npy,-1000,1739,-697.334475
img_0_slice_37.npy,-1000,1819,-698.28810625
img_0_slice_38.npy,-1000,1759,-699.09029375
img_0_slice_39.npy,-1000,1777,-699.99350625
img_0_slice_4.npy,-1000,1614,-630.24920625
img_0_slice_40.npy,-1000,1691,-700.8929875
img_0_slice_41.npy,-1000,1828,-701.857725
img_0_slice_42.npy,-1000,1663,-702.56625
img_0_slice_43.npy,-1000,1579,-703.16964375
img_0_slice_44.npy,-1000,1685,-703.819875
img_0_slice_45.npy,-1000,1622,-704.77026875
img_0_slice_46.npy,-1000,1676,-705.7196
img_0_slice_47.npy,-1000,1934,-706.4978625
img_0_slice_48.npy,-1000,1580,-707.27588125
img_0_slice_49.npy,-1000,1571,-707.39045
img_0_slice_5.npy,-1000,1629,-632.70685625
img_0_slice_50.npy,-1000,1586,-707.3533625
img_0_slice_51.npy,-1000,1712,-706.79285625
img_0_slice_52.npy,-1000,1720,-706.3320375
img_0_slice_53.npy,-1000,1584,-705.6359375
img_0_slice_54.npy,-1000,1609,-705.01225
img_0_slice_55.npy,-1000,1554,-704.98394375
img_0_slice_56.npy,-1000,1692,-705.019875
img_0_slice_57.npy,-1000,2318,-705.26754375
img_0_slice_58.npy,-1000,2087,-705.19820625
img_0_slice_59.npy,-1000,2168,-705.24415
img_0_slice_6.npy,-1000,1574,-635.0630875
img_0_slice_60.npy,-1000,2112,-705.407325
img_0_slice_61.npy,-1000,1770,-705.545625
img_0_slice_62.npy,-1000,1751,-705.96124375
img_0_slice_63.npy,-1000,1637,-706.1037875
img_0_slice_64.npy,-1000,1617,-706.5168
img_0_slice_65.npy,-1000,1517,-706.75863125
img_0_slice_66.npy,-1000,1573,-707.13195
img_0_slice_67.npy,-1000,1564,-707.46249375
img_0_slice_68.npy,-1000,1510,-708.0596
img_0_slice_69.npy,-1000,1598,-708.48378125
img_0_slice_7.npy,-1000,1637,-637.09385
